ONSCode,Name,TotalPop15,Male15,Female15,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_29,Age30_34,Age35_39,Age40_44,Age45_49,Age50_54,Age55_59,Age60_64,Age65_69,Age70_74,Age75_79,Age80_84,Age85_89,Age90_Plus,Electors,AnnualPay,ClaimantTotal,Claimant18_24,Claimant25_49,Claimant50_Plus,OutOfWorkBenefits,AgricultureForestryFishing,MiningQuarryingUtilities,Manufacturing,Construction,WholesaleAndMotor,TransportAndStorage,AccommodationAndFood,InformationAndCommunication,FinancialAndInsurance,Property,ProfessionalScientificAndTechnical,BusinessAdminAndSupport,PublicAdminAndDefence,Education,Health,ArtsAndOther,AllUsualResidents11,Male11,Female11,LivesInHousehold,LivesinCommunalEstablishment,Area,Density,TenureAll,OwnedOutright,MortgageOrLoan,SharedOwnership,SocialFromCouncil,SocialOther,PrivateLandlordOrAgency,PrivateRentedOther,RentFree,QualificationTotal,QualificationNone,LevelOneQual,LevelTwoQual,Apprenticeship,LevelThreeQual,LevelFourQual,OherQual,Verygood,Good,Fair,Bad,Verybad,ActivitiesLimitedaLot,ActivitiesLimitedaLittle,ActivitiesNotLimited,White,GypsyTravellerIrishTraveller,MixedorMultiple,Indian,Pakistani,Bangladeshi,Chinese,OtherAsian,BlackAfricanCaribbeanBlackBritish,OtherEthnic,Europe,UnitedKingdom,England,NorthernIreland,Scotland,Wales,UnitedKingdomOther,ChannelIsleofMan,Ireland,OtherUKTotal,EU,Germany,Lithuania,Poland,Romania,OtherEU,RestTotal,Turkey,OtherEurope,AfricaTotal,NorthAfrica,CentralandWesternAfrica,Nigeria,CentralandWesternAfrica,SouthandEasternAfrica,Kenya,SouthAfrica,Zimbabwe,OtherSouthandEasternAfrica,MiddleEastandAsiaTotal,MiddleEastTotal,Iran,OtherMiddleEast,EasternAsiaTotal,China,HongKongSAR,EasternAsiaOther,SouthernAsia,Bangladesh,India,Pakistan,OtherSouthernAsia,SouthEastAsiaTotal,CentralAsia,AmericasandCaribbeanTotal,NorthAmericasandCaribbeanTotal,TheCaribbean,UnitedsStateofAmerica,OtherNorthAmerica,CentralAmerica,SouthAmerica,AntarcticaandOceaniaTotal,Australia,OtherAntarcticaandOceania,OtherCountyofBirth
E14000530,Aldershot,105653,52931,52722,7279,6641,5763,5971,6344,8033,8052,7675,8065,8091,7600,5973,4887,4912,3800,2791,1866,1206,704,69903,25387,630,125,320,180,3920,15,450,3500,1750,7250,1750,4500,7000,2250,1000,6000,6000,1250,4500,4000,1750,103922,51856,52066,101893,2029,5298,19.6,40195,9842,16456,678,792,5344,4926,1827,330,83053,15374,13587,14238,3092,10396,20757,5609,51994,37047,11165,2883,833,5751,7959,90212,88679,209,2218,1418,648,218,544,7329,2005,654,91338,86364,82626,582,1873,1273,10,53,694,4227,3854,1345,53,721,146,1589,373,142,231,2270,143,440,118,322,1687,144,673,575,295,9022,212,57,155,1228,156,1033,39,6512,106,912,349,5145,1052,18,949,700,375,170,155,37,212,343,167,176,0
E14000531,Aldridge-Brownhills,77670,37962,39708,4009,4352,4189,4441,3950,4240,4091,4033,5078,6062,5969,5036,4203,4962,4447,3735,2573,1518,782,58359,21518,770,190,375,205,3370,10,350,4500,2250,3650,1500,1250,200,200,250,1500,3000,450,2500,1750,700,76974,37663,39311,76532,442,4403,17.5,32230,12537,11827,212,2141,2546,2349,294,324,63354,18660,8869,10120,2429,7400,13006,2870,32856,27503,11750,3755,1110,7620,8254,61100,71629,56,1195,1935,324,126,232,490,747,240,75066,73989,72929,182,396,478,4,12,397,668,618,148,17,196,7,250,50,8,42,376,50,62,39,23,264,57,54,76,77,1264,79,45,34,147,42,99,6,908,38,728,126,16,130,0,231,208,131,45,32,4,19,37,30,7,0
E14000532,Altrincham and Sale West,99970,48953,51017,6167,6806,6565,5737,4184,4929,6065,6687,7744,7781,7510,6103,5249,5359,4204,3480,2606,1774,1020,69719,30793,680,115,370,195,2920,35,125,2000,2000,5650,800,2500,3000,2000,1250,9000,4500,500,3000,3500,2250,96591,47239,49352,95968,623,5163,18.7,39939,14119,15468,284,1165,3732,4455,311,405,77136,11716,8545,11753,2404,8770,31121,2827,52489,29621,10478,3126,877,6457,8090,82044,87347,4,2058,1898,1712,121,1080,588,943,840,91240,87401,84050,567,1646,1133,5,53,1262,2524,2242,384,19,619,59,1161,282,38,244,986,230,176,107,69,580,114,190,90,186,3456,614,290,324,720,356,263,101,1773,64,1031,599,79,336,13,661,537,166,248,123,20,104,248,177,71,0
E14000533,Amber Valley,88985,43723,45262,4742,4874,4532,4883,4929,5066,5207,5027,6120,6882,6667,5945,5670,6254,4593,3179,2169,1403,843,64454,22406,855,210,440,200,5040,25,500,11000,3000,5450,2500,1750,450,250,600,1500,2000,2500,3000,3000,1250,87883,43253,44630,87105,778,12464,7.1,37829,13905,13509,121,2270,3160,3924,414,526,72502,21508,10756,11534,3449,8702,13576,2977,37275,31070,13865,4473,1200,8907,9754,69222,86433,34,580,253,62,9,132,133,176,71,86934,85514,84165,189,759,400,1,17,209,1194,1107,263,18,458,16,352,87,30,57,261,38,29,8,21,194,25,80,54,35,418,28,10,18,87,40,37,10,168,3,122,24,19,134,1,186,164,36,78,50,8,14,84,66,18,0
E14000534,Arundel and South Downs,98989,47579,51410,4657,5474,5621,5434,3682,3484,3859,4659,6280,7601,7933,7045,6868,7900,6183,4873,3629,2371,1436,75321,21536,380,70,180,130,2460,400,350,2500,1750,5650,1250,3500,1000,300,700,2500,1750,200,3500,3500,2250,97267,46690,50577,95659,1608,64523,1.5,41540,17553,14005,213,975,3311,4103,577,803,80349,14395,10074,13791,2789,9681,26478,3141,47668,33881,11812,3038,868,6474,9626,81167,94920,157,972,231,41,95,194,348,209,100,93566,90787,87965,343,1411,1057,11,82,539,2158,1947,452,35,217,32,1211,211,37,174,1147,85,96,52,44,966,137,485,152,192,1375,159,40,119,269,67,136,66,517,55,334,55,73,430,0,798,623,90,304,229,25,150,381,252,129,0
E14000535,Ashfield,104653,51451,53202,6360,6178,5597,6064,5804,6543,6140,5883,6899,7979,7901,6787,6267,6500,5261,3740,2504,1430,816,76490,20964,1320,320,680,320,7340,50,1000,10000,4500,7500,2000,1500,900,225,450,2500,2000,1000,3000,10000,800,101914,50113,51801,100780,1134,10771,9.5,43405,14833,15155,201,5644,1524,4934,519,595,82919,26744,13691,13628,3491,9621,12129,3615,41850,35320,17042,6063,1639,11989,11822,78103,99804,28,819,311,69,55,179,231,290,128,100709,98818,97379,220,783,434,2,18,217,1656,1547,342,52,649,24,480,109,47,62,305,41,45,26,19,219,12,111,47,49,633,40,8,32,131,47,74,10,320,26,188,30,76,141,1,200,178,65,75,38,1,21,67,50,17,0
E14000536,Ashford,119036,57853,61183,7687,7876,7521,7295,6321,6925,6815,7020,8010,9401,8709,6881,6292,7197,5351,3957,2899,1754,1125,82527,24190,1270,325,615,325,4960,350,400,5000,2000,11250,2500,3500,1250,700,600,4000,3500,1750,4000,8000,2500,112940,54801,58139,112047,893,50398,2.2,45777,14320,16737,620,4601,2171,6001,652,675,89287,19001,14066,15933,3426,10741,21686,4434,53859,39504,14359,4004,1214,8067,10157,94716,105081,513,1633,944,160,183,424,2250,1365,387,106507,102220,99750,351,1320,796,3,44,597,3646,3275,559,122,992,77,1525,371,121,250,1638,112,286,200,86,1240,98,447,374,321,3791,215,43,172,587,155,385,47,2449,99,726,106,1518,526,14,671,504,177,217,110,28,139,333,217,116,0
E14000537,Ashton-under-Lyne,91374,44967,46407,6246,5707,5209,5355,5660,6236,6162,5242,5901,6902,6826,5661,4764,4916,3816,3015,2036,1074,646,65941,19489,1725,395,975,355,6840,40,225,3500,1000,7150,900,2000,700,300,700,900,1000,1750,3000,7000,1250,90484,44496,45988,89791,693,2879,31.4,38928,10976,13304,108,2122,6113,5291,534,480,72789,21571,12039,12485,3099,8564,11228,3803,38919,30741,13934,5435,1455,9905,9475,71104,79027,12,1535,2678,3989,1052,469,463,1028,231,84825,82095,80595,294,807,376,23,26,577,2127,1970,195,11,1097,42,625,157,21,136,1399,169,308,91,217,922,329,98,134,361,3978,144,40,104,312,172,130,10,3233,438,1033,1701,61,287,2,206,165,89,55,21,8,33,76,55,21,0
E14000538,Aylesbury,117278,58267,59011,8571,8004,6777,6611,6331,7899,8356,8516,8490,9027,8471,6656,5802,5539,4226,3219,2429,1482,872,77463,23686,730,130,400,200,3930,175,200,2250,1500,8750,1500,3000,2500,1250,800,2500,6000,4000,4500,9000,2000,108027,53487,54540,106316,1711,18548,5.8,43035,12605,17310,405,1654,4066,5360,1178,457,85477,15509,12327,14203,3181,10306,25618,4333,54918,37240,12008,3011,850,6262,8525,93240,92587,94,2956,1552,5225,128,435,1727,2760,563,99020,93940,90192,554,1853,1330,11,52,869,4159,3850,622,41,1055,187,1945,309,37,272,2471,230,413,214,199,1828,199,602,662,365,5126,201,51,150,385,128,186,71,3588,56,925,2165,442,946,6,1121,929,516,289,124,18,174,289,201,88,0
E14000539,Banbury,120809,59911,60898,7800,8089,6954,7061,6047,7569,8682,8074,8791,9389,8887,7302,6145,6424,4828,3648,2592,1607,920,85398,26854,490,115,255,120,3870,200,300,6000,2000,15250,2500,4000,1750,1000,1250,4500,5000,1750,4500,6000,2250,117928,58325,59603,115438,2490,46369,2.5,47040,13584,18285,350,1238,4804,7236,788,755,93591,18479,14512,15144,3629,11020,25578,5229,59637,40705,13064,3568,954,7159,9215,101554,108891,94,2091,1192,2242,111,456,896,1594,361,110986,104750,100479,571,2128,1566,6,58,721,5457,5124,875,63,2173,146,1867,333,66,267,1782,135,289,111,178,1358,187,620,298,253,3062,177,73,104,423,155,163,105,1756,53,732,867,104,697,9,1666,1460,241,1066,153,18,188,432,227,205,0
