WD16CD,WD16NM,FID
E05006769,Frome Berkley Down,4001
E05007248,Whitton,4002
E05007249,Worlingham,4003
E05006770,Frome College,4004
E05007250,Wrentham,4005
E05007273,Auriol,4006
E05006771,Frome Keyford,4007
E05007274,College,4008
E05006772,Frome Market,4009
E05007275,Court,4010
E05007276,Cuddington,4011
E05007277,Ewell,4012
E05007278,Ewell Court,4013
E05007064,Manifold,4014
E05006844,Parrett,4015
E05007114,St Mary's,4016
E05007279,Nonsuch,4017
E05006988,Bilbrook,4018
E05007164,Bardwell,4019
E05006912,Hednesford North,4020
E05007065,Werrington,4021
E05006845,St Michael's,4022
E05007115,Severals,4023
E05007280,Ruxley,4024
E05006989,Brewood and Coven,4025
E05006913,Hednesford South,4026
E05007165,Barningham,4027
E05007066,Amington,4028
E05006846,South Petherton,4029
E05007116,South,4030
E05007281,Stamford,4031
E05006990,Cheslyn Hay North and Saredon,4032
E05006914,Norton Canes,4033
E05007166,Barrow,4034
E05006847,Tatworth and Forton,4035
E05007067,Belgrave,4036
E05006991,Cheslyn Hay South,4037
E05007117,Alexandra,4038
E05007282,Stoneleigh,4039
E05006915,Rawnsley,4040
E05007167,Cavendish,4041
E05006848,Tower,4042
E05007068,Bolehall,4043
E05006992,Codsall North,4044
E05007283,Town,4045
E05007168,Chedburgh,4046
E05006916,Western Springs,4047
E05007118,Bixley,4048
E05007069,Castle,4049
E05006849,Turn Hill,4050
E05006993,Codsall South,4051
E05006917,Abbey,4052
E05007284,West Ewell,4053
E05007169,Clare,4054
E05007119,Bridge,4055
E05006850,Wessex,4056
E05007070,Glascote,4057
E05006994,Essington,4058
E05006918,Anglesey,4059
E05007170,Eastgate,4060
E05007285,Woodcote,4061
E05007120,Castle Hill,4062
E05007071,Mercian,4063
E05006851,Wincanton,4064
E05006995,Featherstone and Shareshill,4065
E05007121,Gainsborough,4066
E05007286,Ash South and Tongham,4067
E05007171,Fornham,4068
E05006919,Bagots,4069
E05006852,Windwhistle,4070
E05007072,Spital,4071
E05006996,Great Wyrley Landywood,4072
E05007287,Ash Vale,4073
E05007122,Gipping,4074
E05007172,Great Barton,4075
E05006920,Branston,4076
E05007073,Stonydelph,4077
E05006997,Great Wyrley Town,4078
E05006853,Yeovil Central,4079
E05007123,Holywells,4080
E05007173,Haverhill East,4081
E05006921,Brizlincote,4082
E05007074,Trinity,4083
E05007288,Ash Wharf,4084
E05006998,Himley and Swindon,4085
E05006854,Yeovil East,4086
E05007124,Priory Heath,4087
E05007174,Haverhill North,4088
E05006922,Burton,4089
E05007075,Wilnecote,4090
E05007289,Burpham,4091
E05006999,Huntington and Hatherton,4092
E05006855,Yeovil South,4093
E05007125,Rushmere,4094
E05007175,Haverhill South,4095
E05006923,Churnet,4096
E05007076,Alton,4097
E05007000,Kinver,4098
E05007290,Christchurch,4099
E05006856,Yeovil West,4100
E05007126,St John's,4101
E05007176,Haverhill West,4102
E05006924,Crown,4103
E05007291,Clandon and Horsley,4104
E05007077,Berners,4105
E05007001,Pattingham and Patshull,4106
E05006857,Yeovil Without,4107
E05007177,Horringer and Whelnetham,4108
E05006925,Eton Park,4109
E05007127,St Margaret's,4110
E05007078,Boxford,4111
E05007002,Penkridge North East and Acton Trussell,4112
E05006858,Bishop's Hull,4113
E05007292,Effingham,4114
E05006926,Heath,4115
E05007079,Brett Vale,4116
E05007003,Penkridge South East,4117
E05007178,Hundon,4118
E05006859,Bishop's Lydeard,4119
E05007128,Sprites,4120
E05007293,Friary and St Nicolas,4121
E05006927,Horninglow,4122
E05007004,Penkridge West,4123
E05007080,Brook,4124
E05007129,Stoke Park,4125
E05006860,Blackdown,4126
E05007179,Ixworth,4127
E05007294,Holy Trinity,4128
E05006928,Needwood,4129
E05007005,Perton Dippons,4130
E05007081,Bures St Mary,4131
E05006773,Frome Oakfield,4132
E05006861,Bradford-on-Tone,4133
E05007130,Westgate,4134
E05007180,Kedington,4135
E05007295,Lovelace,4136
E05006929,Rolleston on Dove,4137
E05007131,Whitehouse,4138
E05007006,Perton East,4139
E05007082,Chadacre,4140
E05006862,Comeytrowe,4141
E05007181,Minden,4142
E05007296,Merrow,4143
E05006930,Shobnall,4144
E05006774,Frome Park,4145
E05007132,Whitton,4146
E05007083,Dodnash,4147
E05007007,Perton Lakeside,4148
E05007182,Moreton Hall,4149
E05006863,Milverton and North Deane,4150
E05007297,Normandy,4151
E05006931,Stapenhill,4152
E05007133,Bacton and Old Newton,4153
E05007183,Northgate,4154
E05007008,Trysull and Seisdon,4155
E05007084,Glemsford and Stanstead,4156
E05006864,Monument,4157
E05006775,Glastonbury St Benedict's,4158
E05007298,Onslow,4159
E05006932,Stretton,4160
E05007134,Badwell Ash,4161
E05007009,"Wheaton Aston, Bishopswood and Lapley",4162
E05007184,Pakenham,4163
E05006865,Neroche,4164
E05007085,Great Cornard North,4165
E05007299,Pilgrims,4166
E05006933,Town,4167
E05007135,Barking and Somersham,4168
E05007010,Wombourne North and Lower Penn,4169
E05007185,Risby,4170
E05006776,Glastonbury St Edmund's,4171
E05006866,North Curry and Stoke St Gregory,4172
E05007086,Great Cornard South,4173
E05007300,Pirbright,4174
E05006934,Tutbury and Outwoods,4175
E05007136,Bramford and Blakenham,4176
E05007011,Wombourne South East,4177
E05007186,Risbygate,4178
E05006867,Norton Fitzwarren,4179
E05007087,Hadleigh North,4180
E05007301,Send,4181
E05006935,Weaver,4182
E05007137,Claydon and Barham,4183
E05006777,Glastonbury St John's,4184
E05007012,Wombourne South West,4185
E05007187,Rougham,4186
E05006868,Ruishton and Creech,4187
E05007088,Hadleigh South,4188
E05007302,Shalford,4189
E05007138,Debenham,4190
E05006936,Winshill,4191
E05007039,Alton,4192
E05007188,St Olaves,4193
E05006869,Staplegrove,4194
E05007089,Holbrook,4195
E05006778,Glastonbury St Mary's,4196
E05007303,Stoke,4197
E05007139,Elmswell and Norton,4198
E05006937,Yoxall,4199
E05007040,Bagnall and Stanley,4200
E05006870,Taunton Blackbrook and Holway,4201
E05007304,Stoughton,4202
E05007140,Eye,4203
E05006964,Audley and Bignall End,4204
E05007041,Biddulph East,4205
E05006779,Moor,4206
E05006871,Taunton Eastgate,4207
E05007305,Tillingbourne,4208
E05007141,Fressingfield,4209
E05007090,Lavenham,4210
E05006965,Bradwell,4211
E05007042,Biddulph Moor,4212
E05006872,Taunton Fairwater,4213
E05007189,Southgate,4214
E05007306,Westborough,4215
E05006966,Butt Lane,4216
E05007091,Leavenheath,4217
E05007142,Gislingham,4218
E05006780,Postlebury,4219
E05007043,Biddulph North,4220
E05007190,Stanton,4221
E05006873,Taunton Halcon,4222
E05006967,Chesterton,4223
E05007092,Long Melford,4224
E05007307,Worplesdon,4225
E05007143,Haughley and Wetherden,4226
E05007044,Biddulph South,4227
E05007191,Westgate,4228
E05006874,Taunton Killams and Mountfield,4229
E05006781,Rode and Norton St Philip,4230
E05007144,Helmingham and Coddenham,4231
E05007308,Ashtead Common,4232
E05007093,Lower Brett,4233
E05006968,Clayton,4234
E05007045,Biddulph West,4235
E05007192,Wickhambrook,4236
E05006875,Taunton Lyngford,4237
E05007309,Ashtead Park,4238
E05007145,Hoxne,4239
E05006969,Cross Heath,4240
E05007094,Mid Samford,4241
E05007046,Brown Edge and Endon,4242
E05006782,Rodney and Westbury,4243
E05006876,Taunton Manor and Wilton,4244
E05007193,Withersfield,4245
E05007310,Ashtead Village,4246
E05007095,Nayland,4247
E05006970,Halmerend,4248
E05007047,Caverswall,4249
E05007146,Mendlesham,4250
E05006877,Taunton Pyrland and Rowbarton,4251
E05007228,Beccles North,4252
E05007311,Beare Green,4253
E05006971,Holditch,4254
E05007096,North Cosford,4255
E05007048,Cellarhead,4256
E05007147,Needham Market,4257
E05006783,St Cuthbert Out North,4258
E05006878,Trull,4259
E05007229,Beccles South,4260
E05007312,Bookham North,4261
E05007049,Cheadle North East,4262
E05006972,Keele,4263
E05007148,Onehouse,4264
E05007097,Pinewood,4265
E05006879,Wellington East,4266
E05007230,Blything,4267
E05006784,Shepton East,4268
E05007313,Bookham South,4269
E05007050,Cheadle South East,4270
E05006973,Kidsgrove,4271
E05007149,Palgrave,4272
E05007098,South Cosford,4273
E05006880,Wellington North,4274
E05007231,Bungay,4275
E05007051,Cheadle West,4276
E05006974,Knutton and Silverdale,4277
E05007314,Box Hill and Headley,4278
E05007099,Sudbury East,4279
E05007150,Rattlesden,4280
E05006785,Shepton West,4281
E05006881,Wellington Rockwell Green and West,4282
E05007232,Carlton,4283
E05007052,Checkley,4284
E05007315,"Brockham, Betchworth and Buckland",4285
E05006975,Loggerheads and Whitmore,4286
E05007100,Sudbury North,4287
E05007151,Rickinghall and Walsham,4288
E05006882,West Monkton,4289
E05007233,Carlton Colville,4290
E05006786,Street North,4291
E05007053,Cheddleton,4292
E05007101,Sudbury South,4293
E05007152,Ringshall,4294
E05007316,"Capel, Leigh and Newdigate",4295
E05006883,Wiveliscombe and West Deane,4296
E05006976,Madeley,4297
E05007234,Gunton and Corton,4298
E05007054,Churnet,4299
E05007317,Charlwood,4300
E05006902,Brereton and Ravenhill,4301
