,Candidate,Elected,Party,Votes,Ward
0,Douglas LUMSDEN,1,Con,1533.0,Airyhall-Broomhill-Garthdee
1,Angela TAYLOR,0,Lab,708.0,Airyhall-Broomhill-Garthdee
2,Gordon Scott TOWNSON,1,SNP,1417.0,Airyhall-Broomhill-Garthdee
3,Ian YUILL,1,SLD,2458.0,Airyhall-Broomhill-Garthdee
4,Alison ALPHONSE,1,SNP,1610.0,Bridge of Don
5,Karen FARQUHAR,0,SLD,669.0,Bridge of Don
6,Brett HUNT,1,Con,1868.0,Bridge of Don
7,James Edmund Rodgerson IRVING-LEWIS,0,Sol,28.0,Bridge of Don
8,Simon MCLEAN,0,Ind,70.0,Bridge of Don
9,John Michael REYNOLDS,1,Ind,1045.0,Bridge of Don
10,George SAUNDERS,0,Ind,279.0,Bridge of Don
11,Sandy STUART,1,SNP,862.0,Bridge of Don
12,Willie YOUNG,0,Lab,805.0,Bridge of Don
13,Barney CROCKETT,1,Lab,744.0,Dyce-Bucksburn-Danestone
14,Coral DUTHIE,0,Ind,509.0,Dyce-Bucksburn-Danestone
15,Graeme Stephen LAWRENCE,0,Lab,458.0,Dyce-Bucksburn-Danestone
16,Neil MACGREGOR,1,SNP,1670.0,Dyce-Bucksburn-Danestone
17,Avril MACKENZIE,1,Con,2012.0,Dyce-Bucksburn-Danestone
18,Dorothy PEARCE,0,SLD,430.0,Dyce-Bucksburn-Danestone
19,Gill SAMARAI,1,SNP,785.0,Dyce-Bucksburn-Danestone
20,Dell HENRICKSON,1,SNP,753.0,George St-Harbour
21,Ryan HOUGHTON,1,Con,588.0,George St-Harbour
22,Michael Frederick HUTCHISON,1,SNP,632.0,George St-Harbour
23,Guy INGERSON,0,Grn,364.0,George St-Harbour
24,Sandra MACDONALD,1,Lab,545.0,George St-Harbour
25,Mike SCOTT,0,Lab,292.0,George St-Harbour
26,John William STEPHEN,0,UKIP,32.0,George St-Harbour
27,Wendy Alison Edmond STUART,0,SNP,210.0,George St-Harbour
28,John WADDELL,0,SLD,206.0,George St-Harbour
29,John COOKE,1,SNP,1210.0,Hazlehead-Queens Cross-Countesswells
30,Martin GREIG,1,SLD,1592.0,Hazlehead-Queens Cross-Countesswells
31,Claire IMRIE,1,Con,1326.0,Hazlehead-Queens Cross-Countesswells
32,John MCLEOD,0,Lab,441.0,Hazlehead-Queens Cross-Countesswells
33,Steve ROBERTSON,0,Con,1214.0,Hazlehead-Queens Cross-Countesswells
34,Jennifer STEWART,1,SLD,1725.0,Hazlehead-Queens Cross-Countesswells
35,Neil Cameron COPLAND,1,SNP,1148.0,Hilton-Woodside-Stockethill
36,Lesley DUNBAR,1,Lab,818.0,Hilton-Woodside-Stockethill
37,David Page HENDERSON,0,Ind,179.0,Hilton-Woodside-Stockethill
38,Freddie JOHN,1,Con,889.0,Hilton-Woodside-Stockethill
39,Peter KENNEDY,0,Grn,186.0,Hilton-Woodside-Stockethill
40,Lewis MACLEOD,0,Lab,369.0,Hilton-Woodside-Stockethill
41,Sam PETCHEY,0,SLD,219.0,Hilton-Woodside-Stockethill
42,Lauren Stephanie WARDS,0,SNP,729.0,Hilton-Woodside-Stockethill
43,Finlay CROSSAN,0,Ind,220.0,Kincorth-Nigg-Cove
44,Sarah DUNCAN,1,Lab,590.0,Kincorth-Nigg-Cove
45,Andy FINLAYSON,0,Ind,562.0,Kincorth-Nigg-Cove
