,Electorate,Local Authority,Num_candidates,Seats,Ward
0,11898,Aberdeen,4,3,Airyhall-Broomhill-Garthdee
1,14910,Aberdeen,9,4,Bridge of Don
2,15272,Aberdeen,7,4,Dyce-Bucksburn-Danestone
3,12226,Aberdeen,9,4,George St-Harbour
4,14368,Aberdeen,6,4,Hazlehead-Queens Cross-Countesswells
5,11544,Aberdeen,8,3,Hilton-Woodside-Stockethill
6,12953,Aberdeen,8,4,Kincorth-Nigg-Cove
7,11272,Aberdeen,7,3,Kingswells-Sheddocksley-Summerhill
8,11887,Aberdeen,8,3,Lower Deeside
9,10908,Aberdeen,8,3,Midstocket-Rosemount
10,12252,Aberdeen,8,3,Northfield-Mastrick North
11,9213,Aberdeen,9,3,Tillydrone-Seaton-Old Aberdeen
12,15191,Aberdeen,10,4,Torry-Ferryhill
13,9011,Aberdeenshire,5,3,Aboyne Upper Deeside and Donside
14,8807,Aberdeenshire,4,3,Banchory and Mid Deeside
15,9187,Aberdeenshire,4,3,Banff and District
16,11109,Aberdeenshire,5,4,Central Buchan
17,10144,Aberdeenshire,6,4,East Garioch
18,11818,Aberdeenshire,5,4,Ellon and District
19,12094,Aberdeenshire,10,4,Fraserburgh and District
20,12101,Aberdeenshire,6,4,Huntly Strathbogie and Howe of Alford
21,11228,Aberdeenshire,6,4,Inverurie and District
22,11784,Aberdeenshire,8,4,Mearns
23,11359,Aberdeenshire,7,4,Mid Formartine
24,12346,Aberdeenshire,7,4,North Kincardine
25,12041,Aberdeenshire,6,4,Peterhead North and Rattray
26,9249,Aberdeenshire,6,3,Peterhead South and Cruden
27,11284,Aberdeenshire,7,4,Stonehaven and Lower Deeside
28,7902,Aberdeenshire,6,3,Troup
29,10708,Aberdeenshire,5,4,Turriff and District
30,9047,Aberdeenshire,6,3,West Garioch
31,12017,Aberdeenshire,7,4,Westhill and District
32,10068,Angus,8,3,Arbroath East and Lunan
33,13741,Angus,5,4,Arbroath West-Letham and Friockheim
34,9022,Angus,7,3,Brechin and Edzell
35,10769,Angus,7,3,Carnoustie and District
36,11942,Angus,8,4,Forfar and District
37,8872,Angus,6,3,Kirriemuir and Dean
38,13368,Angus,5,4,Monifieth and Sidlaw
39,12048,Angus,7,4,Montrose and District
40,5896,Argyll_and_Bute,6,3,Cowal
41,5644,Argyll_and_Bute,10,3,Dunoon
42,5699,Argyll_and_Bute,8,3,Helensburgh and Lomond South
43,7574,Argyll_and_Bute,5,4,Helensburgh Central
